ID,At,X,Y
1,2025-03-18 11:45:00.00,5,10
2,2025-03-18 11:45:00.00,15,45
3,2025-03-18 11:45:00.00,35,55
4,2025-03-18 11:45:00.00,8,30
5,2025-03-18 11:45:00.00,28,5
6,2025-03-18 11:45:00.00,20,30
7,2025-03-18 11:45:00.00,32,20
8,2025-03-18 11:45:00.00,12,55
9,2025-03-18 11:45:00.00,38,40
10,2025-03-18 11:45:00.00,22,15
1,2025-03-18 11:45:01.00,5.383,10.239
2,2025-03-18 11:45:01.00,14.602,45.137
3,2025-03-18 11:45:01.00,34.838,54.951
4,2025-03-18 11:45:01.00,7.891,30.314
5,2025-03-18 11:45:01.00,27.617,4.971
6,2025-03-18 11:45:01.00,19.744,29.861
7,2025-03-18 11:45:01.00,31.866,19.895
8,2025-03-18 11:45:01.00,12.216,55.098
9,2025-03-18 11:45:01.00,37.898,40.227
10,2025-03-18 11:45:01.00,22.046,15.626
2,2025-03-18 11:45:01.06,14.618,45.104
5,2025-03-18 11:45:01.15,27.587,4.998
7,2025-03-18 11:45:01.25,31.774,19.892
10,2025-03-18 11:45:01.67,22.048,15.663
1,2025-03-18 11:45:02.00,5.541,10.34
2,2025-03-18 11:45:02.00,14.896,45.412
3,2025-03-18 11:45:02.00,35.005,54.92
4,2025-03-18 11:45:02.00,8.06,30.208
5,2025-03-18 11:45:02.00,27.604,5.11
6,2025-03-18 11:45:02.00,19.456,29.593
7,2025-03-18 11:45:02.00,31.906,19.812
8,2025-03-18 11:45:02.00,12.386,55.08
9,2025-03-18 11:45:02.00,37.715,40.163
10,2025-03-18 11:45:02.00,21.934,15.613
6,2025-03-18 11:45:02.39,19.434,29.607
1,2025-03-18 11:45:03.00,5.686,10.176
2,2025-03-18 11:45:03.00,14.584,45.257
3,2025-03-18 11:45:03.00,34.594,54.891
4,2025-03-18 11:45:03.00,8.001,29.866
5,2025-03-18 11:45:03.00,27.507,5.102
6,2025-03-18 11:45:03.00,19.77,29.462
7,2025-03-18 11:45:03.00,32.079,19.577
8,2025-03-18 11:45:03.00,12.449,55.517
9,2025-03-18 11:45:03.00,37.447,39.853
10,2025-03-18 11:45:03.00,21.743,15.395
1,2025-03-18 11:45:04.00,6.191,10.16
2,2025-03-18 11:45:04.00,14.901,44.789
3,2025-03-18 11:45:04.00,34.282,54.424
4,2025-03-18 11:45:04.00,8.06,28.822
5,2025-03-18 11:45:04.00,27.075,4.961
6,2025-03-18 11:45:04.00,19.914,29.55
7,2025-03-18 11:45:04.00,30.948,19.551
9,2025-03-18 11:45:04.00,34.753,41.77
10,2025-03-18 11:45:04.00,22.017,14.79
7,2025-03-18 11:45:04.06,30.892,19.512
3,2025-03-18 11:45:04.21,34.23,54.426
9,2025-03-18 11:45:04.23,34.784,41.785
4,2025-03-18 11:45:04.48,7.994,28.812
1,2025-03-18 11:45:05.00,5.919,10.563
3,2025-03-18 11:45:05.00,34.289,54.663
5,2025-03-18 11:45:05.00,27.002,5.273
6,2025-03-18 11:45:05.00,20.2,29.556
7,2025-03-18 11:45:05.00,30.762,19.67
8,2025-03-18 11:45:05.00,12.205,55.289
9,2025-03-18 11:45:05.00,34.626,41.683
10,2025-03-18 11:45:05.00,21.63,15.083
9,2025-03-18 11:45:05.37,34.666,41.716
1,2025-03-18 11:45:05.44,5.875,10.571
5,2025-03-18 11:45:05.66,27.052,5.255
1,2025-03-18 11:45:06.00,5.849,10.53
2,2025-03-18 11:45:06.00,14.468,44.555
3,2025-03-18 11:45:06.00,34.817,54.503
4,2025-03-18 11:45:06.00,8.391,28.721
5,2025-03-18 11:45:06.00,27.128,5.137
6,2025-03-18 11:45:06.00,21.28,31.441
7,2025-03-18 11:45:06.00,30.187,21.386
8,2025-03-18 11:45:06.00,12.232,54.912
9,2025-03-18 11:45:06.00,35.122,41.609
10,2025-03-18 11:45:06.00,21.7,14.763
9,2025-03-18 11:45:06.13,35.128,41.609
1,2025-03-18 11:45:07.00,6.07,10.651
2,2025-03-18 11:45:07.00,14.09,44.055
3,2025-03-18 11:45:07.00,35.155,54.029
4,2025-03-18 11:45:07.00,8.079,28.678
5,2025-03-18 11:45:07.00,26.823,5.425
6,2025-03-18 11:45:07.00,21.697,31.048
7,2025-03-18 11:45:07.00,29.856,21.628
8,2025-03-18 11:45:07.00,12.575,54.616
9,2025-03-18 11:45:07.00,35.245,41.509
8,2025-03-18 11:45:07.58,12.546,54.68
7,2025-03-18 11:45:07.74,29.885,21.592
4,2025-03-18 11:45:07.92,8.088,28.685
1,2025-03-18 11:45:07.93,6.087,10.649
1,2025-03-18 11:45:08.00,5.46,10.981
2,2025-03-18 11:45:08.00,14.411,44.124
3,2025-03-18 11:45:08.00,34.294,54.626
4,2025-03-18 11:45:08.00,7.853,28.319
5,2025-03-18 11:45:08.00,26.768,5.444
6,2025-03-18 11:45:08.00,21.584,31.151
7,2025-03-18 11:45:08.00,29.844,21.845
8,2025-03-18 11:45:08.00,12.211,54.831
9,2025-03-18 11:45:08.00,35.231,41.677
10,2025-03-18 11:45:08.00,21.746,14.56
4,2025-03-18 11:45:08.28,7.818,28.397
6,2025-03-18 11:45:08.87,21.703,31.176
1,2025-03-18 11:45:09.00,5.419,11.464
2,2025-03-18 11:45:09.00,14.105,44.947
3,2025-03-18 11:45:09.00,34.605,54.395
4,2025-03-18 11:45:09.00,8.222,28.775
5,2025-03-18 11:45:09.00,26.846,5.437
6,2025-03-18 11:45:09.00,21.754,31.412
7,2025-03-18 11:45:09.00,29.769,21.848
8,2025-03-18 11:45:09.00,12.268,55.151
9,2025-03-18 11:45:09.00,34.747,42.011
2,2025-03-18 11:45:09.09,14.117,44.962
5,2025-03-18 11:45:09.69,26.85,5.452
1,2025-03-18 11:45:10.00,5.723,11.938
2,2025-03-18 11:45:10.00,13.998,45.174
3,2025-03-18 11:45:10.00,34.448,54.358
4,2025-03-18 11:45:10.00,8.085,29.082
5,2025-03-18 11:45:10.00,26.733,5.168
6,2025-03-18 11:45:10.00,21.645,31.659
7,2025-03-18 11:45:10.00,29.87,21.613
8,2025-03-18 11:45:10.00,12.349,54.934
9,2025-03-18 11:45:10.00,35.399,41.92
10,2025-03-18 11:45:10.00,21.782,15.043
10,2025-03-18 11:45:10.13,21.803,14.995
2,2025-03-18 11:45:10.66,14.033,45.088
1,2025-03-18 11:45:11.00,5.624,12.135
2,2025-03-18 11:45:11.00,14.059,45.292
3,2025-03-18 11:45:11.00,34.219,53.859
4,2025-03-18 11:45:11.00,7.547,29.057
5,2025-03-18 11:45:11.00,26.583,5.31
